Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,207.72999572753906,208.02999877929688,206.55999755859375,207.5,174.9171142578125,135979900
2015-07-02,208.07000732421875,208.27000427246094,206.80999755859375,207.30999755859375,174.7568817138672,104373700
2015-07-06,205.77000427246094,207.64999389648438,205.52999877929688,206.72000122070312,174.25961303710938,117975400
2015-07-07,206.9600067138672,208.1699981689453,204.11000061035156,208.02000427246094,175.35545349121094,173820200
2015-07-08,206.4199981689453,206.75999450683594,204.25,204.52999877929688,172.41346740722656,164020100
2015-07-09,207.0399932861328,207.35000610351562,204.77000427246094,204.89999389648438,172.72540283203125,144113100
2015-07-10,207.2899932861328,207.97999572753906,204.9499969482422,207.47999572753906,174.9002227783203,129456900
2015-07-13,208.99000549316406,209.89999389648438,208.94000244140625,209.77000427246094,176.8306884765625,106069400
2015-07-14,209.72000122070312,211.0500030517578,209.64999389648438,210.67999267578125,177.59776306152344,81709600
2015-07-15,210.72999572753906,211.27999877929688,210.0399932861328,210.61000061035156,177.5386962890625,97914100
2015-07-16,211.8699951171875,212.3000030517578,211.5800018310547,212.3000030517578,178.9634246826172,106683300
2015-07-17,212.2899932861328,212.5500030517578,211.8000030517578,212.47999572753906,179.11509704589844,89030000
2015-07-20,212.75,213.17999267578125,212.2100067138672,212.58999633789062,179.20782470703125,70446800
2015-07-21,212.42999267578125,212.74000549316406,211.38999938964844,211.75,178.499755859375,77965000
2015-07-22,210.92999267578125,211.77000427246094,210.88999938964844,211.3699951171875,178.179443359375,88667900
2015-07-23,211.52999877929688,211.64999389648438,209.75,210.17999267578125,177.17628479003906,90509100
2015-07-24,210.3000030517578,210.3699951171875,207.60000610351562,208.0,175.3385772705078,117755000
2015-07-27,206.94000244140625,207.5500030517578,206.25999450683594,206.7899932861328,174.318603515625,132361100
2015-07-28,207.7899932861328,209.5,206.8000030517578,209.3300018310547,176.4597930908203,123544800
2015-07-29,209.47999572753906,211.0399932861328,209.30999755859375,210.77000427246094,177.6736297607422,105791300
2015-07-30,210.16000366210938,211.02000427246094,209.4199981689453,210.82000732421875,177.7158203125,91304400
2015-07-31,211.4199981689453,211.4499969482422,210.16000366210938,210.5,177.44607543945312,103266900
2015-08-03,210.4600067138672,210.52999877929688,208.64999389648438,209.7899932861328,176.84751892089844,113965700
2015-08-04,209.6999969482422,210.25,208.8000030517578,209.3800048828125,176.50186157226562,81820800
2015-08-05,210.4499969482422,211.30999755859375,209.72999572753906,210.07000732421875,177.08355712890625,85786800
2015-08-06,210.2899932861328,210.4199981689453,207.64999389648438,208.35000610351562,175.63363647460938,116030800
2015-08-07,208.16000366210938,208.33999633789062,206.8699951171875,207.9499969482422,175.29644775390625,117858000
2015-08-10,209.27999877929688,210.6699981689453,209.27999877929688,210.57000732421875,177.5050506591797,80270700
2015-08-11,208.97000122070312,209.47000122070312,207.75999450683594,208.6699981689453,175.90338134765625,126081400
